#BACKUP DATA
#CDS.TXT
#
DMB | THE BEST OF WHAT’S AROUND VOL 1 | 2 | KOREA | SEALED | 2006 | 28768885826 | STUDIO | 
TIM REYNOLDS | THE LIMBIC SYSTEM | 1 | USA | SEALED | 2010 | 884501372831 | STUDIO | 
BOYD TINSLEY | TRUE REFLECTIONS | 1 | USA | SEALED | 2003 | 828765263320 | STUDIO | 	
DMB | UNDER THE TABLE AND DREAMING | 1 | USA | SEALED | 1994 | 07863664492 | STUDIO | BMG EDITION
DMB | UNDER THE TABLE AND DREAMING | 1 | USA | OPENED | 1994 | 07863664492 | STUDIO | BMG EDITION CLOUD DISC
DMB | UNDER THE TABLE AND DREAMING | 1 | USA | SEALED | 1994 | D105998 | STUDIO | BMG MUSIC CLUB EDITION
DMB | UNDER THE TABLE AND DREAMING | 1 | CANADA | OPENED | 1994 | 07863664492 | STUDIO | 	
DMB | UNDER THE TABLE AND DREAMING | 1 | USA | OPENED | 1994 | 07863664492 | STUDIO | COLUMBIA HOUSE EDITION
DMB | UNDER THE TABLE AND DREAMING | 1 | JAPAN | OPENED | 1994 | BVCP768 | STUDIO | 	
DMB | EUROPE 2009 | 4 | USA | OPENED | 2009 | 886976182427 | LIVE | 
DMB | LISTENER SUPPORTED | 2 | USA | SEALED | 1999 | 078636789828 | LIVE | HOLE PUNCH
DMB | LIVE AT FOLSOM FIELD | 2 | USA | SEALED | 2002 | 078636812427 | LIVE | 
DMB | LIVE AT FOLSOM FIELD | 2 | USA | SEALED | 2002 | 078636812427 | LIVE | 
DMB | LIVE AT MILE HIGH MUSIC FESTIVAL | 3 | USA | OPENED | 2008 | 886974297024 | LIVE | 
DMB | LIVE AT MILE HIGH MUSIC FESTIVAL | 3 | USA | SEALED | 2008 | 886974297024 | LIVE | 
DMB | LIVE AT PIEDMONT PARK | 3 | USA | SEALED | 2007 | 886972144429 | LIVE |
DMB | LIVE AT PIEDMONT PARK | 3 | USA | OPENED | 2007 | 886972144429 | LIVE |
DMB | LIVE AT RED ROCKS 8.15.95 | 2 | USA | SEALED | 1997 | 078636758725 | LIVE |
DMB | LIVE AT WRIGLEY FIELD | 2 | USA | SEALED | 2011 | 886978625427 | LIVE |
DMB | LIVE AT WRIGLEY FIELD | 2 | TAIWAN | SEALED | 2011 | 886978625427 | LIVE |
DMB | LIVE AT WRIGLEY FIELD BOX SET | 4 | USA | SEALED | 2011 | N/A | LIVE | WH EDITION, SCREEN PRINT #2062 TESTDDDD | ASDFASDF | 1 | ADFASD | SEALED | 2014 | ADF | BONUS DISC | DDDD
DDD | DDD | 1 | DDD | SEALED | 2014 | DDD | BONUS DISC | DDD
DDD | DDD | 1 | DDD | SEALED | 2014 | DDD | BONUS DISC | DDD
DDD | DDD | 1 | DDD | OPENED | 2014 | DDD | BONUS DISC | DDD
